,CASE_SUBMITTED_DAY,CASE_SUBMITTED_MONTH,CASE_SUBMITTED_YEAR,DECISION_DAY,DECISION_MONTH,DECISION_YEAR,VISA_CLASS,EMPLOYER_NAME,EMPLOYER_STATE,EMPLOYER_COUNTRY,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H-1B_DEPENDENT,WILLFUL_VIOLATOR,WORKSITE_STATE,WORKSITE_POSTAL_CODE,CASE_STATUS
0,22,11,2016,29,11,2016,H1B1 Singapore,SPA ENTERPRISE SERVICES INC,GA,UNITED STATES OF AMERICA,EDUCATION,541512.0,1,Y,64501.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,64501.0,0.0,Year,,,MN,55117,CERTIFIED
2,14,2,2017,21,2,2017,H1B,NAGARRO INC,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,69618.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,85000.0,0.0,Year,Y,N,MN,55101,CERTIFIED
3,2,10,2016,5,10,2016,H1B,CAREMARK LLC,RI,UNITED STATES OF AMERICA,MARKETING,424210.0,1,Y,42557.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,42257.0,109400.0,Year,N,N,RI,2895,DENIED
5,21,6,2017,26,6,2017,E3 Australian,WATCHTOWER TRADING LLC,NV,UNITED STATES OF AMERICA,SCIENTIST,523920.0,1,Y,85966.0,Year,OES,2017.0,OFLC ONLINE DATA CENTER,86000.0,0.0,Year,,,NV,89511,DENIED
7,12,3,2016,6,6,2017,H1B,RAISER TECHNOLOGIES INC,IL,UNITED STATES OF AMERICA,ANALYSTS,541511.0,1,Y,46842.0,Year,Other,2016.0,OFLC ONLINE DATA CENTER,47000.0,0.0,Year,N,N,IL,60504,CERTIFIEDWITHDRAWN
8,23,2,2017,5,6,2017,H1B,WIPRO LIMITED,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,5,Y,69493.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,69493.0,0.0,Year,Y,N,OH,43017,CERTIFIEDWITHDRAWN
9,16,3,2017,22,3,2017,H1B,GOOGLE INC,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541512.0,1,Y,122533.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,142000.0,0.0,Year,N,N,WA,98103,CERTIFIED
10,14,7,2015,6,2,2017,H1B,SANFORD BURNHAM MEDICAL RESEARCH INSTITUTE,CA,UNITED STATES OF AMERICA,ACCOUNTANTS,54171.0,1,Y,32261.0,Year,OES,2015.0,OFLC ONLINE DATA CENTER,45000.0,0.0,Year,N,N,FL,32827,CERTIFIEDWITHDRAWN
11,12,3,2017,14,3,2017,H1B,EARTH EXPLORATION INC,IN,UNITED STATES OF AMERICA,SCIENTIST,541330.0,1,Y,66000.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,66000.0,0.0,Year,N,N,IN,46214,DENIED
12,24,10,2016,28,10,2016,H1B,INFOSYS LIMITED,TX,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511.0,1,Y,62754.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,72825.0,0.0,Year,Y,N,TX,75024,CERTIFIED
14,17,3,2017,23,3,2017,E3 Australian,LEAPGEN LLC,CA,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,54161.0,1,Y,136219.0,Year,OES,2016.0,OFLC ONLINE DATA CENTER,130000.0,162500.0,Year,,,NY,10036,DENIED
